Player,Pos,Team,Selection_Type,Conference,Year
Karl Malone,PF,Utah Jazz,Western All-Star Coaches Selection,West,1996-1997
Shaquille O'Neal,C,Los Angeles Lakers,Western All-Star Coaches Selection,West,1996-1997
Hakeem Olajuwon,C,Houston Rockets,Western All-Star Fan Vote Selection,West,1996-1997
Gary Payton,SG,Seattle SuperSonics,Western All-Star Fan Vote Selection,West,1996-1997
Mitch Richmond,SG,Sacramento Kings,Western All-Star Coaches Selection,West,1996-1997
Detlef Schrempf,SF,Seattle SuperSonics,Western All-Star Replacement Selection,West,1996-1997
Latrell Sprewell,SG,Golden State Warriors,Western All-Star Coaches Selection,West,1996-1997
John Stockton,PG,Utah Jazz,Western All-Star Fan Vote Selection,West,1996-1997
Vin Baker,PF,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,1996-1997
Terrell Brandon,PG,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1996-1997
Joe Dumars,SG,Detroit Pistons,Eastern All-Star Replacement Selection,East,1996-1997
Patrick Ewing,C,New York Knicks,Eastern All-Star Fan Vote Selection,East,1996-1997
Penny Hardaway,PG,Orlando Magic,Eastern All-Star Fan Vote Selection,East,1996-1997
Tim Hardaway,PG,Miami Heat,Eastern All-Star Coaches Selection,East,1996-1997
Grant Hill,SF,Detroit Pistons,Eastern All-Star Fan Vote Selection,East,1996-1997
Michael Jordan,SG,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1996-1997
Christian Laettner,PF,Atlanta Hawks,Eastern All-Star Coaches Selection,East,1996-1997
Alonzo Mourning,C,Miami Heat,Eastern All-Star Coaches Selection,East,1996-1997
Dikembe Mutombo,C,Atlanta Hawks,Eastern All-Star Coaches Selection,East,1996-1997
Scottie Pippen,SF,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1996-1997
Glen Rice,SF,Charlotte Hornets,Eastern All-Star Coaches Selection,East,1996-1997
Chris Webber,F-C,Washington Bullets,Eastern All-Star Replacement Selection,East,1996-1997
Charles Barkley,PF,Phoenix Suns,Western All-Star Fan Vote Selection,West,1995-1996
Clyde Drexler,SG,Houston Rockets,Western All-Star Fan Vote Selection,West,1995-1996
Sean Elliott,SF,San Antonio Spurs,Western All-Star Coaches Selection,West,1995-1996
Shawn Kemp,C,Seattle SuperSonics,Western All-Star Fan Vote Selection,West,1995-1996
Jason Kidd,PG,Dallas Mavericks,Western All-Star Fan Vote Selection,West,1995-1996
Karl Malone,PF,Utah Jazz,Western All-Star Coaches Selection,West,1995-1996
Dikembe Mutombo,C,Denver Nuggets,Western All-Star Coaches Selection,West,1995-1996
Hakeem Olajuwon,C,Houston Rockets,Western All-Star Fan Vote Selection,West,1995-1996
Gary Payton,SG,Seattle SuperSonics,Western All-Star Coaches Selection,West,1995-1996
Mitch Richmond,SG,Sacramento Kings,Western All-Star Coaches Selection,West,1995-1996
David Robinson,C,San Antonio Spurs,Western All-Star Coaches Selection,West,1995-1996
John Stockton,PG,Utah Jazz,Western All-Star Coaches Selection,West,1995-1996
Vin Baker,PF,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,1995-1996
Terrell Brandon,PG,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1995-1996
Patrick Ewing,C,New York Knicks,Eastern All-Star Coaches Selection,East,1995-1996
Penny Hardaway,PG,Orlando Magic,Eastern All-Star Fan Vote Selection,East,1995-1996
Grant Hill,SF,Detroit Pistons,Eastern All-Star Fan Vote Selection,East,1995-1996
Juwan Howard,PF,Washington Bullets,Eastern All-Star Coaches Selection,East,1995-1996
Michael Jordan,SG,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1995-1996
Reggie Miller,SG,Indiana Pacers,Eastern All-Star Coaches Selection,East,1995-1996
Alonzo Mourning,C,Miami Heat,Eastern All-Star Coaches Selection,East,1995-1996
Shaquille O'Neal,C,Orlando Magic,Eastern All-Star Fan Vote Selection,East,1995-1996
Scottie Pippen,SF,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1995-1996
Glen Rice,SF,Charlotte Hornets,Eastern All-Star Coaches Selection,East,1995-1996
Charles Barkley,PF,Phoenix Suns,Western All-Star Fan Vote Selection,West,1994-1995
Cedric Ceballos,SF,Los Angeles Lakers,Western All-Star Coaches Selection,West,1994-1995
Shawn Kemp,C,Seattle Supersonics,Western All-Star Fan Vote Selection,West,1994-1995
Dan Majerle,SG,Phoenix Suns,Western All-Star Fan Vote Selection,West,1994-1995
Karl Malone,PF,Utah Jazz,Western All-Star Coaches Selection,West,1994-1995
Dikembe Mutombo,C,Denver Nuggets,Western All-Star Replacement Selection,West,1994-1995
Hakeem Olajuwon,C,Houston Rockets,Western All-Star Fan Vote Selection,West,1994-1995
Gary Payton,SG,Seattle Supersonics,Western All-Star Coaches Selection,West,1994-1995
Mitch Richmond,SG,Sacramento Kings,Western All-Star Coaches Selection,West,1994-1995
David Robinson,C,San Antonio Spurs,Western All-Star Coaches Selection,West,1994-1995
Detlef Schrempf,SF,Seattle Supersonics,Western All-Star Coaches Selection,West,1994-1995
Latrell Sprewell,SG,Golden State Warriors,Western All-Star Fan Vote Selection,West,1994-1995
John Stockton,PG,Utah Jazz,Western All-Star Coaches Selection,West,1994-1995
Vin Baker,PF,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,1994-1995
Dana Barros,PG,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1994-1995
Joe Dumars,SG,Detroit Pistons,Eastern All-Star Coaches Selection,East,1994-1995
Patrick Ewing,C,New York Knicks,Eastern All-Star Coaches Selection,East,1994-1995
Penny Hardaway,PG,Orlando Magic,Eastern All-Star Fan Vote Selection,East,1994-1995
Grant Hill,SF,Detroit Pistons,Eastern All-Star Fan Vote Selection,East,1994-1995
Tyrone Hill,PF,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1994-1995
Larry Johnson,PF,Charlotte Hornets,Eastern All-Star Coaches Selection,East,1994-1995
Reggie Miller,SG,Indiana Pacers,Eastern All-Star Fan Vote Selection,East,1994-1995
Alonzo Mourning,C,Charlotte Hornets,Eastern All-Star Coaches Selection,East,1994-1995
Shaquille O'Neal,C,Orlando Magic,Eastern All-Star Fan Vote Selection,East,1994-1995
Scottie Pippen,SF,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1994-1995
Kenny Anderson,PG,New Jersey Nets,Eastern All-Star Fan Vote Selection,East,1993-1994
B.J. Armstrong,SG,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1993-1994
Mookie Blaylock,PG,Atlanta Hawks,Eastern All-Star Coaches Selection,East,1993-1994
Derrick Coleman,PF,New Jersey Nets,Eastern All-Star Fan Vote Selection,East,1993-1994
Patrick Ewing,C,New York Knicks,Eastern All-Star Coaches Selection,East,1993-1994
Horace Grant,PF,Chicago Bulls,Eastern All-Star Replacement Selection,East,1993-1994
Alonzo Mourning,C,Charlotte Hornets,Eastern All-Star Coaches Selection,East,1993-1994
Shaquille O'Neal,C,Orlando Magic,Eastern All-Star Fan Vote Selection,East,1993-1994
Charles Oakley,PF,New York Knicks,Eastern All-Star Coaches Selection,East,1993-1994
Scottie Pippen,SF,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1993-1994
Mark Price,PG,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1993-1994
John Starks,SG,New York Knicks,Eastern All-Star Coaches Selection,East,1993-1994
Dominique Wilkins,SF,Atlanta Hawks,Eastern All-Star Coaches Selection,East,1993-1994
Charles Barkley,PF,Phoenix Suns,Western All-Star Fan Vote Selection,West,1993-1994
Clyde Drexler,SG,Portland Trail Blazers,Western All-Star Fan Vote Selection,West,1993-1994
Kevin Johnson,PG,Phoenix Suns,Western All-Star Coaches Selection,West,1993-1994
Shawn Kemp,C,Seattle SuperSonics,Western All-Star Fan Vote Selection,West,1993-1994
Karl Malone,PF,Utah Jazz,Western All-Star Coaches Selection,West,1993-1994
Danny Manning,PF,Los Angeles Clippers,Western All-Star Coaches Selection,West,1993-1994
Hakeem Olajuwon,C,Houston Rockets,Western All-Star Fan Vote Selection,West,1993-1994
Gary Payton,SG,Seattle SuperSonics,Western All-Star Replacement Selection,West,1993-1994
Mitch Richmond,SG,Sacramento Kings,Western All-Star Fan Vote Selection,West,1993-1994
Cliff Robinson,PF,Portland Trail Blazers,Western All-Star Coaches Selection,West,1993-1994
David Robinson,C,San Antonio Spurs,Western All-Star Coaches Selection,West,1993-1994
Latrell Sprewell,SG,Golden State Warriors,Western All-Star Coaches Selection,West,1993-1994
John Stockton,PG,Utah Jazz,Western All-Star Coaches Selection,West,1993-1994
Brad Daugherty,C,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1992-1993
Joe Dumars,SG,Detroit Pistons,Eastern All-Star Coaches Selection,East,1992-1993
Patrick Ewing,C,New York Knicks,Eastern All-Star Coaches Selection,East,1992-1993
Larry Johnson,PF,Charlotte Hornets,Eastern All-Star Fan Vote Selection,East,1992-1993
Michael Jordan,SG,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1992-1993
Larry Nance,PF,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1992-1993
Shaquille O'Neal,C,Orlando Magic,Eastern All-Star Fan Vote Selection,East,1992-1993
Scottie Pippen,SF,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1992-1993
Mark Price,PG,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1992-1993
Detlef Schrempf,SF,Indiana Pacers,Eastern All-Star Coaches Selection,East,1992-1993
Isiah Thomas,PG,Detroit Pistons,Eastern All-Star Fan Vote Selection,East,1992-1993
Dominique Wilkins,SF,Atlanta Hawks,Eastern All-Star Coaches Selection,East,1992-1993
Charles Barkley,PF,Phoenix Suns,Western All-Star Fan Vote Selection,West,1992-1993
Clyde Drexler,SG,Portland Trail Blazers,Western All-Star Fan Vote Selection,West,1992-1993
Sean Elliott,SF,San Antonio Spurs,Western All-Star Coaches Selection,West,1992-1993
Tim Hardaway,PG,Golden State Warriors,Western All-Star Coaches Selection,West,1992-1993
Shawn Kemp,C,Seattle SuperSonics,Western All-Star Coaches Selection,West,1992-1993
Dan Majerle,SG,Phoenix Suns,Western All-Star Coaches Selection,West,1992-1993
Karl Malone,PF,Utah Jazz,Western All-Star Fan Vote Selection,West,1992-1993
Danny Manning,PF,Los Angeles Clippers,Western All-Star Coaches Selection,West,1992-1993
Chris Mullin,SF,Golden State Warriors,Western All-Star Coaches Selection,West,1992-1993
Hakeem Olajuwon,C,Houston Rockets,Western All-Star Coaches Selection,West,1992-1993
Terry Porter,PG,Portland Trail Blazers,Western All-Star Replacement Selection,West,1992-1993
Mitch Richmond,SG,Sacramento Kings,Western All-Star Coaches Selection,West,1992-1993
David Robinson,C,San Antonio Spurs,Western All-Star Fan Vote Selection,West,1992-1993
John Stockton,PG,Utah Jazz,Western All-Star Fan Vote Selection,West,1992-1993
Clyde Drexler,SG,Portland Trail Blazers,Western All-Star Fan Vote Selection,West,1991-1992
Tim Hardaway,PG,Golden State Warriors,Western All-Star Coaches Selection,West,1991-1992
Jeff Hornacek,SG,Phoenix Suns,Western All-Star Coaches Selection,West,1991-1992
Magic Johnson,PG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1991-1992
Dan Majerle,SG,Phoenix Suns,Western All-Star Coaches Selection,West,1991-1992
Karl Malone,PF,Utah Jazz,Western All-Star Fan Vote Selection,West,1991-1992
Chris Mullin,SF,Golden State Warriors,Western All-Star Fan Vote Selection,West,1991-1992
Dikembe Mutombo,C,Denver Nuggets,Western All-Star Coaches Selection,West,1991-1992
Hakeem Olajuwon,C,Houston Rockets,Western All-Star Coaches Selection,West,1991-1992
David Robinson,C,San Antonio Spurs,Western All-Star Fan Vote Selection,West,1991-1992
John Stockton,PG,Utah Jazz,Western All-Star Coaches Selection,West,1991-1992
Otis Thorpe,PF,Houston Rockets,Western All-Star Coaches Selection,West,1991-1992
James Worthy,SF,Los Angeles Lakers,Western All-Star Coaches Selection,West,1991-1992
Michael Adams,PG,Washington Bullets,Eastern All-Star Replacement Selection,East,1991-1992
Charles Barkley,PF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1991-1992
Larry Bird,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1991-1992
Brad Daugherty,C,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1991-1992
Joe Dumars,SG,Detroit Pistons,Eastern All-Star Coaches Selection,East,1991-1992
Patrick Ewing,C,New York Knicks,Eastern All-Star Fan Vote Selection,East,1991-1992
Michael Jordan,SG,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1991-1992
Reggie Lewis,SF,Boston Celtics,Eastern All-Star Coaches Selection,East,1991-1992
Scottie Pippen,SF,Chicago Bulls,Eastern All-Star Coaches Selection,East,1991-1992
Mark Price,PG,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1991-1992
Dennis Rodman,PF,Detroit Pistons,Eastern All-Star Coaches Selection,East,1991-1992
Isiah Thomas,PG,Detroit Pistons,Eastern All-Star Fan Vote Selection,East,1991-1992
Dominique Wilkins,SF,Atlanta Hawks,Eastern All-Star Coaches Selection,East,1991-1992
Kevin Willis,C,Atlanta Hawks,Eastern All-Star Replacement Selection,East,1991-1992
Tom Chambers,PF,Phoenix Suns,Western All-Star Coaches Selection,West,1990-1991
Clyde Drexler,SG,Portland Trail Blazers,Western All-Star Coaches Selection,West,1990-1991
Kevin Duckworth,C,Portland Trail Blazers,Western All-Star Coaches Selection,West,1990-1991
Tim Hardaway,PG,Golden State Warriors,Western All-Star Coaches Selection,West,1990-1991
Kevin Johnson,PG,Phoenix Suns,Western All-Star Fan Vote Selection,West,1990-1991
Magic Johnson,PG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1990-1991
Karl Malone,PF,Utah Jazz,Western All-Star Fan Vote Selection,West,1990-1991
Chris Mullin,SF,Golden State Warriors,Western All-Star Fan Vote Selection,West,1990-1991
Terry Porter,PG,Portland Trail Blazers,Western All-Star Coaches Selection,West,1990-1991
David Robinson,C,San Antonio Spurs,Western All-Star Fan Vote Selection,West,1990-1991
John Stockton,PG,Utah Jazz,Western All-Star Coaches Selection,West,1990-1991
James Worthy,SF,Los Angeles Lakers,Western All-Star Coaches Selection,West,1990-1991
Charles Barkley,PF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1990-1991
Larry Bird,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1990-1991
Brad Daugherty,C,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1990-1991
Joe Dumars,SG,Detroit Pistons,Eastern All-Star Coaches Selection,East,1990-1991
Patrick Ewing,C,New York Knicks,Eastern All-Star Fan Vote Selection,East,1990-1991
Hersey Hawkins,SG,Philadelphia 76ers,Eastern All-Star Replacement Selection,East,1990-1991
Michael Jordan,SG,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1990-1991
Bernard King,SF,Washington Bullets,Eastern All-Star Coaches Selection,East,1990-1991
Kevin McHale,PF,Boston Celtics,Eastern All-Star Coaches Selection,East,1990-1991
Robert Parish,C,Boston Celtics,Eastern All-Star Coaches Selection,East,1990-1991
Ricky Pierce,SG,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,1990-1991
Alvin Robertson,SG,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,1990-1991
Isiah Thomas,PG,Detroit Pistons,Eastern All-Star Fan Vote Selection,East,1990-1991
Dominique Wilkins,SF,Atlanta Hawks,Eastern All-Star Coaches Selection,East,1990-1991
Rolando Blackman,SG,Dallas Mavericks,Western All-Star Replacement Selection,West,1989-1990
Tom Chambers,PF,Phoenix Suns,Western All-Star Coaches Selection,West,1989-1990
Clyde Drexler,SG,Portland Trail Blazers,Western All-Star Coaches Selection,West,1989-1990
A.C. Green,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1989-1990
Kevin Johnson,PG,Phoenix Suns,Western All-Star Coaches Selection,West,1989-1990
Magic Johnson,PG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1989-1990
Fat Lever,PG,Denver Nuggets,Western All-Star Coaches Selection,West,1989-1990
Karl Malone,PF,Utah Jazz,Western All-Star Coaches Selection,West,1989-1990
Chris Mullin,SF,Golden State Warriors,Western All-Star Coaches Selection,West,1989-1990
Hakeem Olajuwon,C,Houston Rockets,Western All-Star Fan Vote Selection,West,1989-1990
David Robinson,C,San Antonio Spurs,Western All-Star Coaches Selection,West,1989-1990
John Stockton,PG,Utah Jazz,Western All-Star Fan Vote Selection,West,1989-1990
James Worthy,SF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1989-1990
Charles Barkley,PF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1989-1990
Larry Bird,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1989-1990
Joe Dumars,SG,Detroit Pistons,Eastern All-Star Coaches Selection,East,1989-1990
Patrick Ewing,C,New York Knicks,Eastern All-Star Fan Vote Selection,East,1989-1990
Michael Jordan,SG,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1989-1990
Kevin McHale,PF,Boston Celtics,Eastern All-Star Coaches Selection,East,1989-1990
Reggie Miller,SG,Indiana Pacers,Eastern All-Star Coaches Selection,East,1989-1990
Robert Parish,C,Boston Celtics,Eastern All-Star Coaches Selection,East,1989-1990
Scottie Pippen,SF,Chicago Bulls,Eastern All-Star Coaches Selection,East,1989-1990
Dennis Rodman,PF,Detroit Pistons,Eastern All-Star Coaches Selection,East,1989-1990
Isiah Thomas,PG,Detroit Pistons,Eastern All-Star Fan Vote Selection,East,1989-1990
Dominique Wilkins,SF,Atlanta Hawks,Eastern All-Star Coaches Selection,East,1989-1990
Charles Barkley,PF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1988-1989
Terry Cummings,PF,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,1988-1989
Brad Daugherty,C,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1988-1989
Patrick Ewing,C,New York Knicks,Eastern All-Star Coaches Selection,East,1988-1989
Mark Jackson,PG,New York Knicks,Eastern All-Star Coaches Selection,East,1988-1989
Michael Jordan,SG,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1988-1989
Moses Malone,C,Atlanta Hawks,Eastern All-Star Fan Vote Selection,East,1988-1989
Kevin McHale,PF,Boston Celtics,Eastern All-Star Coaches Selection,East,1988-1989
Larry Nance,PF,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1988-1989
Mark Price,PG,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1988-1989
Isiah Thomas,PG,Detroit Pistons,Eastern All-Star Fan Vote Selection,East,1988-1989
Dominique Wilkins,SF,Atlanta Hawks,Eastern All-Star Fan Vote Selection,East,1988-1989
Kareem Abdul-Jabbar,C,Los Angeles Lakers,Western All-Star Replacement Selection,West,1988-1989
Tom Chambers,PF,Phoenix Suns,Western All-Star Coaches Selection,West,1988-1989
Clyde Drexler,SG,Portland Trail Blazers,Western All-Star Coaches Selection,West,1988-1989
Kevin Duckworth,C,Portland Trail Blazers,Western All-Star Coaches Selection,West,1988-1989
Mark Eaton,C,Utah Jazz,Western All-Star Coaches Selection,West,1988-1989
Dale Ellis,SF,Seattle SuperSonics,Western All-Star Fan Vote Selection,West,1988-1989
Alex English,SF,Denver Nuggets,Western All-Star Fan Vote Selection,West,1988-1989
Magic Johnson,PG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1988-1989
Karl Malone,PF,Utah Jazz,Western All-Star Fan Vote Selection,West,1988-1989
Chris Mullin,SF,Golden State Warriors,Western All-Star Coaches Selection,West,1988-1989
Hakeem Olajuwon,C,Houston Rockets,Western All-Star Fan Vote Selection,West,1988-1989
John Stockton,PG,Utah Jazz,Western All-Star Coaches Selection,West,1988-1989
James Worthy,SF,Los Angeles Lakers,Western All-Star Coaches Selection,West,1988-1989
Danny Ainge,SG,Boston Celtics,Eastern All-Star Coaches Selection,East,1987-1988
Charles Barkley,PF,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1987-1988
Larry Bird,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1987-1988
Mo Cheeks,PG,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1987-1988
Brad Daugherty,C,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1987-1988
Patrick Ewing,C,New York Knicks,Eastern All-Star Coaches Selection,East,1987-1988
Michael Jordan,SG,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1987-1988
Moses Malone,C,Washington Bullets,Eastern All-Star Fan Vote Selection,East,1987-1988
Kevin McHale,PF,Boston Celtics,Eastern All-Star Coaches Selection,East,1987-1988
Doc Rivers,SG,Atlanta Hawks,Eastern All-Star Coaches Selection,East,1987-1988
Isiah Thomas,PG,Detroit Pistons,Eastern All-Star Fan Vote Selection,East,1987-1988
Dominique Wilkins,SF,Atlanta Hawks,Eastern All-Star Fan Vote Selection,East,1987-1988
Kareem Abdul-Jabbar,C,Los Angeles Lakers,Western All-Star Coaches Selection,West,1987-1988
Mark Aguirre,SF,Dallas Mavericks,Western All-Star Coaches Selection,West,1987-1988
James Donaldson,C,Dallas Mavericks,Western All-Star Coaches Selection,West,1987-1988
Clyde Drexler,SG,Portland Trail Blazers,Western All-Star Coaches Selection,West,1987-1988
Alex English,SF,Denver Nuggets,Western All-Star Fan Vote Selection,West,1987-1988
Magic Johnson,PG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1987-1988
Fat Lever,PG,Denver Nuggets,Western All-Star Fan Vote Selection,West,1987-1988
Karl Malone,PF,Utah Jazz,Western All-Star Fan Vote Selection,West,1987-1988
Xavier McDaniel,PF,Seattle SuperSonics,Western All-Star Coaches Selection,West,1987-1988
Hakeem Olajuwon,C,Houston Rockets,Western All-Star Fan Vote Selection,West,1987-1988
Alvin Robertson,SG,San Antonio Spurs,Western All-Star Coaches Selection,West,1987-1988
James Worthy,SF,Los Angeles Lakers,Western All-Star Coaches Selection,West,1987-1988
Charles Barkley,PF,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1986-1987
Larry Bird,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1986-1987
Mo Cheeks,PG,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1986-1987
Julius Erving,SF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1986-1987
Michael Jordan,SG,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1986-1987
Bill Laimbeer,C,Detroit Pistons,Eastern All-Star Coaches Selection,East,1986-1987
Jeff Malone,SG,Washington Bullets,Eastern All-Star Coaches Selection,East,1986-1987
Moses Malone,C,Washington Bullets,Eastern All-Star Fan Vote Selection,East,1986-1987
Kevin McHale,PF,Boston Celtics,Eastern All-Star Coaches Selection,East,1986-1987
Robert Parish,C,Boston Celtics,Eastern All-Star Coaches Selection,East,1986-1987
Isiah Thomas,PG,Detroit Pistons,Eastern All-Star Coaches Selection,East,1986-1987
Dominique Wilkins,SF,Atlanta Hawks,Eastern All-Star Fan Vote Selection,East,1986-1987
Kareem Abdul-Jabbar,C,Los Angeles Lakers,Western All-Star Coaches Selection,West,1986-1987
Mark Aguirre,SF,Dallas Mavericks,Western All-Star Coaches Selection,West,1986-1987
Rolando Blackman,SG,Dallas Mavericks,Western All-Star Coaches Selection,West,1986-1987
Joe Barry Carroll,PF,Golden State Warriors,Western All-Star Coaches Selection,West,1986-1987
Tom Chambers,PF,Seattle SuperSonics,Western All-Star Replacement Selection,West,1986-1987
Walter Davis,SF,Phoenix Suns,Western All-Star Coaches Selection,West,1986-1987
Alex English,SF,Denver Nuggets,Western All-Star Coaches Selection,West,1986-1987
Sleepy Floyd,PG,Golden State Warriors,Western All-Star Coaches Selection,West,1986-1987
Magic Johnson,PG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1986-1987
Hakeem Olajuwon,C,Houston Rockets,Western All-Star Fan Vote Selection,West,1986-1987
Alvin Robertson,SG,San Antonio Spurs,Western All-Star Fan Vote Selection,West,1986-1987
Ralph Sampson,C,Houston Rockets,Western All-Star Fan Vote Selection,West,1986-1987
James Worthy,SF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1986-1987
Larry Bird,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1985-1986
Mo Cheeks,PG,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1985-1986
Julius Erving,SF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1985-1986
Patrick Ewing,C,New York Knicks,Eastern All-Star Coaches Selection,East,1985-1986
Michael Jordan,SG,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1985-1986
Jeff Malone,SG,Washington Bullets,Eastern All-Star Coaches Selection,East,1985-1986
Moses Malone,C,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1985-1986
Kevin McHale,PF,Boston Celtics,Eastern All-Star Coaches Selection,East,1985-1986
Sidney Moncrief,SG,Milwaukee Bucks,Eastern All-Star Replacement Selection,East,1985-1986
Robert Parish,C,Boston Celtics,Eastern All-Star Coaches Selection,East,1985-1986
Isiah Thomas,PG,Detroit Pistons,Eastern All-Star Fan Vote Selection,East,1985-1986
Dominique Wilkins,SF,Atlanta Hawks,Eastern All-Star Coaches Selection,East,1985-1986
Buck Williams,PF,New Jersey Nets,Eastern All-Star Coaches Selection,East,1985-1986
Kareem Abdul-Jabbar,C,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1985-1986
Rolando Blackman,SG,Dallas Mavericks,Western All-Star Coaches Selection,West,1985-1986
Adrian Dantley,SF,Utah Jazz,Western All-Star Coaches Selection,West,1985-1986
Clyde Drexler,SG,Portland Trail Blazers,Western All-Star Coaches Selection,West,1985-1986
Alex English,SF,Denver Nuggets,Western All-Star Coaches Selection,West,1985-1986
Artis Gilmore,C,San Antonio Spurs,Western All-Star Coaches Selection,West,1985-1986
Magic Johnson,PG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1985-1986
Marques Johnson,SF,Los Angeles Clippers,Western All-Star Coaches Selection,West,1985-1986
Hakeem Olajuwon,C,Houston Rockets,Western All-Star Coaches Selection,West,1985-1986
Alvin Robertson,SG,San Antonio Spurs,Western All-Star Fan Vote Selection,West,1985-1986
Ralph Sampson,C,Houston Rockets,Western All-Star Fan Vote Selection,West,1985-1986
James Worthy,SF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1985-1986
Kareem Abdul-Jabbar,C,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1984-1985
Rolando Blackman,SG,Dallas Mavericks,Western All-Star Coaches Selection,West,1984-1985
Adrian Dantley,SF,Utah Jazz,Western All-Star Fan Vote Selection,West,1984-1985
Alex English,SF,Denver Nuggets,Western All-Star Coaches Selection,West,1984-1985
George Gervin,SF,San Antonio Spurs,Western All-Star Fan Vote Selection,West,1984-1985
Magic Johnson,PG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1984-1985
Larry Nance,PF,Phoenix Suns,Western All-Star Coaches Selection,West,1984-1985
Calvin Natt,PF,Denver Nuggets,Western All-Star Coaches Selection,West,1984-1985
Norm Nixon,SG,Los Angeles Clippers,Western All-Star Coaches Selection,West,1984-1985
Hakeem Olajuwon,C,Houston Rockets,Western All-Star Coaches Selection,West,1984-1985
Ralph Sampson,C,Houston Rockets,Western All-Star Fan Vote Selection,West,1984-1985
Jack Sikma,C,Seattle Supersonics,Western All-Star Coaches Selection,West,1984-1985
Larry Bird,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1984-1985
Terry Cummings,PF,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,1984-1985
Julius Erving,SF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1984-1985
