State,Player,HS City,HS Name,Years,From,To,Games,Career_Min_Played,Career_FG,Career_FGA,Career_3P,Career_3PA,Career_FT,Career_FTA,Career_ORB,Career_TRB,Career_AST,Career_STL,Career_BLK,Career_Turnovers,Career_Personal_Fouls,Career_Points,Career_FG%,Career_3P%,Career_FT%,Min_Played_PG,Points_PG,TRB_PG,AST_PG,
Florida,Precious Achiuwa,Montverde,Montverde Academy,4,2021,2024,263,5226,820,1704,111,362,290,477,510,1496,258,134,167,269,487,2041,0.481,0.307,0.608,19.9,7.8,5.7,1,
Florida,Josh Green,Bradenton,IMG Academy,4,2021,2024,223,4528,556,1105,172,459,151,219,175,605,340,150,31,193,413,1435,0.503,0.375,0.689,20.3,6.4,2.7,1.5,
Florida,KJ Martin,Bradenton,IMG Academy,4,2021,2024,266,5762,948,1742,171,508,311,470,320,1122,323,127,123,221,449,2378,0.544,0.337,0.662,21.7,8.9,4.2,1.2,
Florida,Kevon Harris,Daytona Beach,DME Academy,2,2023,2024,36,463,49,110,16,43,31,41,28,72,17,17,5,22,56,145,0.445,0.372,0.756,12.9,4,2,0.5,
Florida,Amar'e Stoudemire,Lake Wales,Lake Wales,14,2003,2016,846,26254,5911,11009,30,127,4142,5444,2029,6632,1050,636,1054,1953,2685,15994,0.537,0.236,0.761,31,18.9,7.8,1.2,
Florida,Amar'e Stoudemire,Winter Garden,West Orange,14,2003,2016,846,26254,5911,11009,30,127,4142,5444,2029,6632,1050,636,1054,1953,2685,15994,0.537,0.236,0.761,31,18.9,7.8,1.2,
Florida,Tracy McGrady*,Auburndale,Auburndale,15,1998,2012,938,30658,6709,15413,1081,3198,3882,5202,1300,5276,4161,1136,807,2029,1661,18381,0.435,0.338,0.746,32.7,19.6,5.6,4.4,
Florida,Marquis Daniels,Orlando,Edgewater,10,2004,2013,548,11707,1772,3933,103,439,672,932,521,1552,966,509,137,644,882,4319,0.451,0.235,0.721,21.4,7.9,2.8,1.8,
Florida,Cade Cunningham,Montverde,Montverde Academy,3,2022,2024,138,4562,1046,2422,250,759,416,485,103,696,892,144,72,485,387,2758,0.432,0.329,0.858,33.1,20,5,6.5,
Florida,Scottie Barnes,West Palm Beach,Cardinal Newman,3,2022,2024,211,7389,1369,2890,222,713,544,712,515,1563,990,238,204,455,480,3504,0.474,0.311,0.764,35,16.6,7.4,4.7,
Florida,Scottie Barnes,Fort Lauderdale,NSU University School,3,2022,2024,211,7389,1369,2890,222,713,544,712,515,1563,990,238,204,455,480,3504,0.474,0.311,0.764,35,16.6,7.4,4.7,
Florida,Scottie Barnes,Montverde,Montverde Academy,3,2022,2024,211,7389,1369,2890,222,713,544,712,515,1563,990,238,204,455,480,3504,0.474,0.311,0.764,35,16.6,7.4,4.7,
Florida,Moses Moody,Montverde,Montverde Academy,3,2022,2024,181,2580,382,830,161,445,138,182,110,381,131,67,41,91,187,1063,0.46,0.362,0.758,14.3,5.9,2.1,0.7,
Florida,Tre Mann,The Villages,The Villages Charter Schools,3,2022,2024,168,3537,573,1405,226,655,152,196,72,475,376,138,26,198,249,1524,0.408,0.345,0.776,21.1,9.1,2.8,2.2,
Florida,Kai Jones,Orlando,Orlando Christian Prep,2,2022,2023,67,613,76,134,5,21,22,34,40,134,19,18,32,37,73,179,0.567,0.238,0.647,9.1,2.7,2,0.3,
Florida,Jaden Springer,Bradenton,IMG Academy,3,2022,2024,67,602,77,184,12,53,41,50,40,94,52,43,20,38,81,207,0.418,0.226,0.82,9,3.1,1.4,0.8,
Florida,Day'Ron Sharpe,Montverde,Montverde Academy,3,2022,2024,141,1864,347,614,12,33,134,219,341,749,139,49,91,142,280,840,0.565,0.364,0.612,13.2,6,5.3,1,
Florida,Jeremiah Robinson-Earl,Bradenton,IMG Academy,3,2022,2024,131,2235,289,667,108,315,87,112,169,530,113,63,30,74,170,773,0.433,0.343,0.777,17.1,5.9,4,0.9,
Florida,Jason Preston,Orlando,William R. Boone,2,2023,2024,21,195,24,60,5,21,0,2,8,39,43,4,1,12,10,53,0.4,0.238,0,9.3,2.5,1.9,2,
Florida,Filip Petrušev,Montverde,Montverde Academy,1,2024,2024,3,10,1,2,0,0,1,2,0,1,0,0,0,0,1,3,0.5,,0.5,3.3,1,0.3,0,
Florida,Sandro Mamukelashvili,Montverde,Montverde Academy,3,2022,2024,130,1518,227,500,71,215,82,113,150,414,133,30,33,69,115,607,0.454,0.33,0.726,11.7,4.7,3.2,1,
Florida,RaiQuan Gray,Fort Lauderdale,Dillard,2,2023,2024,4,74,16,29,5,12,2,2,5,16,13,1,2,5,5,39,0.552,0.417,1,18.5,9.8,4,3.3,
Florida,Micah Potter,Montverde,Montverde Academy,3,2022,2024,26,269,34,66,13,30,8,10,17,68,10,6,7,8,23,89,0.515,0.433,0.8,10.3,3.4,2.6,0.4,
Florida,Chaundee Brown Jr.,Dr. Phillips,Dr. Phillips,1,2022,2022,5,104,10,32,6,18,5,6,1,16,4,2,0,1,7,31,0.313,0.333,0.833,20.8,6.2,3.2,0.8,
Florida,Chaundee Brown Jr.,Orlando,The First Academy,1,2022,2022,5,104,10,32,6,18,5,6,1,16,4,2,0,1,7,31,0.313,0.333,0.833,20.8,6.2,3.2,0.8,
Florida,Aleem Ford,Bradenton,IMG Academy,1,2022,2022,5,74,6,20,2,15,0,0,2,15,2,1,0,4,7,14,0.3,0.133,,14.8,2.8,3,0.4,
Florida,Jalen Duren,Montverde,Montverde Academy,2,2023,2024,128,3447,607,962,0,6,239,338,421,1304,222,77,106,221,374,1453,0.631,0,0.707,26.9,11.4,10.2,1.7,
Florida,Mark Williams,Bradenton,IMG Academy,2,2023,2024,62,1336,258,402,0,0,113,161,169,488,40,44,65,57,144,629,0.642,,0.702,21.5,10.1,7.9,0.6,
Florida,Andrew Nembhard,Montverde,Montverde Academy,2,2023,2024,143,3770,544,1166,153,434,94,118,71,340,621,133,19,227,322,1335,0.467,0.353,0.797,26.4,9.3,2.4,4.3,
Florida,Caleb Houstan,Montverde,Montverde Academy,2,2023,2024,110,1627,146,388,118,329,36,44,62,183,59,27,11,34,124,446,0.376,0.359,0.818,14.8,4.1,1.7,0.5,
Florida,Moussa Diabaté,Melbourne,Florida Preparatory Academy,2,2023,2024,33,259,34,66,1,2,19,30,46,74,8,12,9,11,19,88,0.515,0.5,0.633,7.8,2.7,2.2,0.2,
Florida,Moussa Diabaté,Daytona Beach,DME Academy,2,2023,2024,33,259,34,66,1,2,19,30,46,74,8,12,9,11,19,88,0.515,0.5,0.633,7.8,2.7,2.2,0.2,
Florida,Moussa Diabaté,Bradenton,IMG Academy,2,2023,2024,33,259,34,66,1,2,19,30,46,74,8,12,9,11,19,88,0.515,0.5,0.633,7.8,2.7,2.2,0.2,
Florida,Josh Minott,Boca Raton,St. Andrews,2,2023,2024,47,187,35,72,6,16,20,22,9,42,13,9,11,5,20,96,0.486,0.375,0.909,4,2,0.9,0.3,
Florida,Scotty Pippen Jr.,Fort Lauderdale,Pine Crest School,2,2023,2024,27,559,104,215,31,75,46,64,24,71,100,38,11,58,63,285,0.484,0.413,0.719,20.7,10.6,2.6,3.7,
Florida,Keon Ellis,Eustis,Eustis,2,2023,2024,73,1049,114,248,76,180,30,42,36,132,91,56,30,38,122,334,0.46,0.422,0.714,14.4,4.6,1.8,1.2,
Florida,Keon Ellis,Leesburg,Leesburg HS,2,2023,2024,73,1049,114,248,76,180,30,42,36,132,91,56,30,38,122,334,0.46,0.422,0.714,14.4,4.6,1.8,1.2,
Florida,Lester Quinones,Bradenton,IMG Academy,2,2023,2024,41,412,58,146,34,92,24,35,22,75,38,7,2,22,44,174,0.397,0.37,0.686,10,4.2,1.8,0.9,
Florida,Darius Days,Gainesville,The Rock School,1,2023,2023,4,25,5,12,3,10,2,2,1,6,1,0,1,0,2,15,0.417,0.3,1,6.3,3.8,1.5,0.3,
Florida,Darius Days,Bradenton,IMG Academy,1,2023,2023,4,25,5,12,3,10,2,2,1,6,1,0,1,0,2,15,0.417,0.3,1,6.3,3.8,1.5,0.3,
Florida,Amen Thompson,Fort Lauderdale,Pine Crest School,1,2024,2024,62,1388,239,446,8,58,106,155,148,409,163,78,38,90,141,592,0.536,0.138,0.684,22.4,9.5,6.6,2.6,
Florida,Ausar Thompson,Fort Lauderdale,Pine Crest School,1,2024,2024,63,1583,232,480,21,113,71,119,129,402,120,68,59,84,175,556,0.483,0.186,0.597,25.1,8.8,6.4,1.9,
Florida,Jarace Walker,Bradenton,IMG Academy,1,2024,2024,33,340,45,110,22,55,8,9,12,63,40,15,11,17,29,120,0.409,0.4,0.889,10.3,3.6,1.9,1.2,
Florida,Taylor Hendricks,Fort Lauderdale,NSU University School,1,2024,2024,40,856,108,240,53,140,23,29,46,185,32,28,30,27,77,292,0.45,0.379,0.793,21.4,7.3,4.6,0.8,
Florida,Jett Howard,Fort Lauderdale,NSU University School,1,2024,2024,18,67,10,30,7,25,2,4,1,7,6,2,2,3,4,29,0.333,0.28,0.5,3.7,1.6,0.4,0.3,
Florida,Jett Howard,Bradenton,IMG Academy,1,2024,2024,18,67,10,30,7,25,2,4,1,7,6,2,2,3,4,29,0.333,0.28,0.5,3.7,1.6,0.4,0.3,
Florida,Keyonte George,Bradenton,IMG Academy,1,2024,2024,75,2023,319,815,147,440,189,223,15,211,332,36,7,188,91,974,0.391,0.334,0.848,27,13,2.8,4.4,
Florida,Jalen Hood-Schifino,Montverde,Montverde Academy,1,2024,2024,21,109,10,45,2,15,12,20,2,13,8,3,2,9,13,34,0.222,0.133,0.6,5.2,1.6,0.6,0.4,
Florida,Dariq Whitehead,Montverde,Montverde Academy,1,2024,2024,2,24,1,5,0,3,1,2,0,4,3,0,1,0,0,3,0.2,0,0.5,12,1.5,2,1.5,
Florida,Kris Murray,Daytona Beach,DME Academy,1,2024,2024,62,1348,145,366,49,183,37,56,85,224,80,53,21,55,92,376,0.396,0.268,0.661,21.7,6.1,3.6,1.3,
Florida,Brice Sensabaugh,Orlando,Lake Highland Preparatory,1,2024,2024,32,584,85,218,34,115,37,41,16,102,55,13,6,47,43,241,0.39,0.296,0.902,18.3,7.5,3.2,1.7,
Florida,Keyontae Johnson,Bradenton,IMG Academy,1,2024,2024,9,66,5,16,1,3,0,0,4,10,4,1,0,4,5,11,0.313,0.333,,7.3,1.2,1.1,0.4,
Florida,Leaky Black,Montverde,Montverde Academy,1,2024,2024,26,284,25,52,9,20,10,15,9,48,24,8,11,6,19,69,0.481,0.45,0.667,10.9,2.7,1.8,0.9,
Georgia,Shareef Abdur-Rahim,Marietta,Wheeler,12,1997,2008,830,28882,5434,11515,154,519,4006,4943,1869,6239,2109,820,638,2136,2324,15028,0.472,0.297,0.81,34.8,18.1,7.5,2.5,
Georgia,Don Adams,South Fulton,South Fulton,7,1971,1977,523,13474,1823,4535,0,3,952,1285,429,2916,1011,334,64,79,1709,4598,0.402,0,0.741,25.8,8.8,5.6,1.9,
Georgia,Morris Almond,Powder Springs,McEachern,3,2008,2012,38,361,43,113,7,24,26,35,10,46,12,12,4,19,42,119,0.381,0.292,0.743,9.5,3.1,1.2,0.3,
Georgia,Al-Farouq Aminu,Norcross,Norcross,11,2011,2021,711,17698,1948,4641,543,1634,911,1221,982,4280,879,678,397,863,1302,5350,0.42,0.332,0.746,24.9,7.5,6,1.2,
Georgia,Shandon Anderson,Atlanta,Crim,10,1997,2006,719,15946,1996,4366,307,972,1028,1392,583,2252,1007,556,180,958,1437,5327,0.457,0.316,0.739,22.2,7.4,3.1,1.4,
Georgia,Willie Anderson,Atlanta,East Atlanta,9,1989,1997,555,15974,2804,5952,99,372,1064,1353,550,2082,2105,594,342,1163,1500,6771,0.471,0.266,0.786,28.8,12.2,3.8,3.8,
Georgia,Al Beard,Fort Valley,H.A. Hunt,1,1968,1968,12,118,12,23,0,0,6,11,,46,0,,,12,29,30,0.522,,0.545,9.8,2.5,3.8,0,
Georgia,MarShon Brooks,Tucker,Tucker,5,2012,2019,200,3456,613,1371,109,316,257,342,132,424,282,120,42,248,269,1592,0.447,0.345,0.751,17.3,8,2.1,1.4,
Georgia,Kwame Brown,Brunswick,Glynn Academy,12,2002,2013,607,13389,1518,3088,1,9,998,1750,1085,3333,554,324,376,771,1385,4035,0.492,0.111,0.57,22.1,6.6,5.5,0.9,
Georgia,Raymond Brown,Atlanta,Sylvan Hills,1,1990,1990,16,56,8,28,0,0,0,2,10,15,4,0,0,6,11,16,0.286,,0,3.5,1,0.9,0.3,
Georgia,Rickey Brown,Atlanta,West Fulton,5,1981,1985,340,4487,614,1322,0,3,254,381,422,1200,119,95,114,301,796,1482,0.464,0,0.667,13.2,4.4,3.5,0.4,
Georgia,Kentavious Caldwell-Pope,Greenville,Greenville,11,2014,2024,835,24757,3388,7935,1420,3852,1303,1590,489,2539,1516,958,231,861,1550,9499,0.427,0.369,0.819,29.6,11.4,3,1.8,
Georgia,Anthony Carter,Atlanta,Crim,13,2000,2012,623,12184,1230,3043,116,464,433,613,244,1302,2363,601,115,958,1103,3009,0.404,0.25,0.706,19.6,4.8,2.1,3.8,
Georgia,Kelvin Cato,Lithonia,Lithonia,10,1998,2007,541,10617,1123,2216,1,13,713,1107,884,2874,244,292,685,448,1347,2960,0.507,0.077,0.644,19.6,5.5,5.3,0.5,
Georgia,Wayne Cooper,McRae,Telfair County,14,1979,1992,984,20274,3242,7100,7,48,1286,1747,2149,6095,852,295,1535,1181,3144,7777,0.457,0.146,0.736,20.6,7.9,6.2,0.9,
Georgia,Lanard Copeland,Atlanta,Booker T. Washington,2,1990,1992,33,158,38,91,1,7,13,16,5,17,14,3,1,23,17,90,0.418,0.143,0.813,4.8,2.7,0.5,0.4,
Georgia,Javaris Crittenton,Atlanta,Southwest Atlanta Christian Academy,2,2008,2009,113,1853,229,518,12,52,125,196,84,276,201,59,8,137,148,595,0.442,0.231,0.638,16.4,5.3,2.4,1.8,
Georgia,Corey Crowder,Carrollton,Carrollton,2,1992,1995,58,357,45,122,13,34,17,24,17,44,18,8,2,15,36,120,0.369,0.382,0.708,6.2,2.1,0.8,0.3,
Georgia,Jae Crowder,Villa Rica,Villa Rica,12,2013,2024,803,20058,2583,6172,1228,3531,1098,1414,552,3371,1275,786,269,670,1623,7492,0.419,0.348,0.777,25,9.3,4.2,1.6,
Georgia,Vonteego Cummings,Thomson,Thomson,3,2000,2002,199,3789,521,1359,109,340,230,317,118,373,534,176,32,259,387,1381,0.383,0.321,0.726,19,6.9,1.9,2.7,
Georgia,William Cunningham,Augusta,Glenn Hills,2,1998,1999,23,201,7,27,0,0,0,2,17,38,2,3,11,5,40,14,0.259,,0,8.7,0.6,1.7,0.1,
Georgia,Michael Curry,Augusta,Glenn Hills,11,1994,2005,667,13208,1094,2448,79,265,719,872,198,1045,804,333,66,459,1523,2986,0.447,0.298,0.825,19.8,4.5,1.6,1.2,
Georgia,Mack Daughtry,Nashville,Nashville,1,1971,1971,4,43,4,10,0,0,5,5,2,5,3,,,0,4,13,0.4,,1,10.8,3.3,1.3,0.8,
Georgia,Jermareo Davidson,Marietta,Wheeler,2,2008,2009,52,433,68,160,0,0,26,45,31,96,14,9,18,22,58,162,0.425,,0.578,8.3,3.1,1.8,0.3,
Georgia,Dale Davis,Toccoa,Stephens County,16,1992,2007,1094,29606,3592,6779,0,8,1522,2708,3303,8605,978,691,1270,1090,2878,8706,0.53,0,0.562,27.1,8,7.9,0.9,
Georgia,Hook Dillon,Savannah,Benedictine Military Academy,1,1950,1950,22,,10,55,,,16,22,,,5,,,,19,36,0.182,,0.727,,1.6,,0.2,
Georgia,Jacky Dorsey,Atlanta,Archer,3,1978,1981,60,449,56,144,0,0,31,57,46,141,16,12,6,28,89,143,0.389,,0.544,7.5,2.4,2.4,0.3,
Georgia,Toney Douglas,Jonesboro,Jonesboro,8,2010,2017,394,7511,1093,2705,444,1256,379,460,213,875,889,349,30,410,775,3009,0.404,0.354,0.824,19.1,7.6,2.2,2.3,
Georgia,Dale Ellis,Marietta,Marietta,17,1984,2000,1209,34778,7323,15275,1719,4266,2639,3365,1533,4201,1746,974,183,1771,2480,19004,0.479,0.403,0.784,28.8,15.7,3.5,1.4,
Georgia,Harold Ellis,Atlanta,Frederick Douglass,3,1994,1998,145,1923,312,592,1,21,215,329,177,291,89,159,18,111,252,840,0.527,0.048,0.653,13.3,5.8,2,0.6,
Georgia,Pervis Ellison,Savannah,Savannah,11,1990,2001,474,11593,1826,3579,1,20,841,1221,1087,3170,691,293,752,798,1493,4494,0.51,0.05,0.689,24.5,9.5,6.7,1.5,
Georgia,Derrick Favors,Atlanta,South Atlanta,12,2011,2022,790,19202,3420,6407,38,192,1476,2225,1933,5608,851,577,939,995,1976,8354,0.534,0.198,0.663,24.3,10.6,7.1,1.1,
Georgia,Gerald Fitch,Macon,Westside,1,2006,2006,18,239,30,89,7,26,17,23,7,30,33,7,5,15,28,84,0.337,0.269,0.739,13.3,4.7,1.7,1.8,
Georgia,Jim Fox,Barnesville,Gordon,10,1968,1977,743,17294,2611,5452,,,1723,2239,554,5525,1201,151,79,,2023,6945,0.479,,0.77,23.3,9.3,7.4,1.6,
Georgia,Walt Frazier*,Atlanta,David T. Howard,13,1968,1980,825,30965,6130,12516,0,1,3321,4226,403,4830,5040,681,63,139,2180,15581,0.49,0,0.786,37.5,18.9,5.9,6.1,
Georgia,Mike Glenn,Rome,Coosa,10,1978,1987,593,9617,1958,3611,8,28,572,669,152,710,952,318,43,429,893,4496,0.542,0.286,0.855,16.2,7.6,1.2,1.6,
Georgia,Dion Glover,Ellenwood,Cedar Grove,6,2000,2005,294,6132,914,2222,148,467,431,570,213,897,455,233,65,370,487,2407,0.411,0.317,0.756,20.9,8.2,3.1,1.5,
Georgia,Andrew Goudelock,Stone Mountain,Stone Mountain,3,2012,2016,49,475,77,196,29,84,14,16,7,34,24,10,2,28,36,197,0.393,0.345,0.875,9.7,4,0.7,0.5,
Georgia,Harvey Grant,Sparta,Hancock Central,11,1989,1999,783,20510,3345,7138,65,243,1026,1448,1170,3436,1219,599,428,714,1768,7781,0.469,0.267,0.709,26.2,9.9,4.4,1.6,
Georgia,Horace Grant,Sparta,Hancock Central,17,1988,2004,1165,38621,5439,10695,4,63,2114,3053,3467,9443,2575,1143,1136,1303,2832,12996,0.509,0.063,0.692,33.2,11.2,8.1,2.2,
Georgia,Ken Green,Atlanta,West Fulton,1,1986,1986,7,72,13,27,0,0,5,9,12,27,2,4,0,1,8,31,0.481,,0.556,10.3,4.4,3.9,0.3,
Georgia,Darrin Hancock,Griffin,Griffin,3,1995,1997,133,1395,196,370,2,6,73,126,58,169,89,56,10,97,157,467,0.53,0.333,0.579,10.5,3.5,1.3,0.7,
Georgia,Charlie Hardnett,Atlanta,Carver Vocational,3,1963,1965,164,2474,433,1023,,,332,513,,930,103,,,,376,1198,0.423,,0.647,15.1,7.3,5.7,0.6,
Georgia,Matt Harpring,Atlanta,Marist School,11,1999,2009,665,17584,2900,6033,158,474,1687,2239,1281,3366,907,497,112,1000,1748,7645,0.481,0.333,0.753,26.4,11.5,5.1,1.4,
Georgia,Donnell Harvey,Cuthbert,Randolph-Clay,5,2001,2005,205,3318,453,985,1,10,243,369,261,827,161,97,80,209,464,1150,0.46,0.1,0.659,16.2,5.6,4,0.8,
Georgia,Jarvis Hayes,Atlanta,Frederick Douglass,7,2004,2010,427,9898,1397,3363,392,1101,367,460,244,1330,459,312,56,374,852,3553,0.415,0.356,0.798,23.2,8.3,3.1,1.1,
Georgia,Gar Heard,LaGrange,Ethel Knight,11,1971,1981,787,19571,2846,6877,0,9,1136,1736,1324,5876,1220,784,780,349,2134,6828,0.414,0,0.654,24.9,8.7,7.5,1.6,
Georgia,Cedric Henderson,Marietta,Marietta,1,1987,1987,8,16,4,8,0,0,3,3,3,8,0,0,0,4,2,11,0.5,,1,2,1.4,1,0,
Georgia,J.J. Hickson,Marietta,Wheeler,8,2009,2016,534,11925,2049,4056,0,21,983,1593,1173,3639,449,274,309,774,1033,5081,0.505,0,0.617,22.3,9.5,6.8,0.8,
Georgia,Dwight Howard,Atlanta,Southwest Atlanta Christian Academy,18,2005,2022,1242,39457,7051,12016,22,103,5361,9455,4151,14627,1676,1081,2228,3302,3912,19485,0.587,0.214,0.567,31.8,15.7,11.8,1.3,
Georgia,Merv Jackson,Savannah,Beach,5,1969,1973,262,6890,1162,2826,51,152,657,804,330,860,813,,,538,825,3032,0.411,0.336,0.817,26.3,11.6,3.3,3.1,
Georgia,Bernard James,Savannah,Windsor Forest,3,2013,2015,92,761,76,153,0,3,51,75,85,212,13,17,61,34,105,203,0.497,0,0.68,8.3,2.2,2.3,0.1,
Georgia,Dontell Jefferson,Stone Mountain,Stephenson,1,2009,2009,6,84,11,22,1,2,6,9,1,12,9,4,1,6,9,29,0.5,0.5,0.667,14,4.8,2,1.5,
Georgia,Alexander Johnson,Albany,Dougherty Comprehensive,2,2007,2008,102,1302,152,294,0,0,135,201,82,275,30,38,45,89,217,439,0.517,,0.672,12.8,4.3,2.7,0.3,
Georgia,Ed Johnson,Atlanta,David T. Howard,3,1969,1971,166,4899,787,1661,1,3,464,837,626,1688,180,,,421,687,2039,0.474,0.333,0.554,29.5,12.3,10.2,1.1,
Georgia,Reggie Johnson,Ellenwood,Cedar Grove,4,1981,1984,305,5979,1065,2109,1,7,433,605,432,1238,262,128,169,393,913,2564,0.505,0.143,0.716,19.6,8.4,4.1,0.9,
Georgia,DeQuan Jones,Marietta,Wheeler,1,2013,2013,63,803,95,218,9,35,34,51,17,105,16,19,22,30,55,233,0.436,0.257,0.667,12.7,3.7,1.7,0.3,
Georgia,Jumaine Jones,Camilla,Mitchell-Baker,8,2000,2007,471,9780,1294,3052,425,1218,312,443,552,1987,408,307,144,388,870,3325,0.424,0.349,0.704,20.8,7.1,4.2,0.9,
Georgia,Jonathan Kerner,Atlanta,Saint Pius X,1,1999,1999,1,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,,,5,0,0,0,
Georgia,Alec Kessler,Roswell,Roswell,4,1991,1994,210,2937,425,998,10,24,224,301,258,751,81,39,71,192,451,1084,0.426,0.417,0.744,14,5.2,3.6,0.4,
Georgia,Frankie King,Baxley,Appling County,2,1996,1997,13,79,10,28,1,3,6,8,5,16,7,6,0,5,11,27,0.357,0.333,0.75,6.1,2.1,1.2,0.5,
Georgia,Jeremy Lamb,Norcross,Norcross,10,2013,2022,573,11896,2127,4841,601,1755,950,1109,303,2073,904,417,218,466,924,5805,0.439,0.342,0.857,20.8,10.1,3.6,1.6,
Georgia,Gani Lawal,Norcross,Norcross,1,2011,2011,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,2,0,0,0,
Georgia,Travis Leslie,DeKalb County,Columbia,1,2012,2012,10,45,5,14,0,0,4,9,6,9,5,2,2,2,4,14,0.357,,0.444,4.5,1.4,0.9,0.5,
Georgia,Darrell Lockhart,Thomaston,Robert E. Lee,1,1984,1984,2,14,2,2,0,0,0,0,0,3,0,0,0,2,5,4,1,,,7,2,1.5,0,
Georgia,Randy Mahaffey,LaGrange,LaGrange,4,1968,1971,321,9589,1476,3315,0,16,863,1262,880,2554,507,,,877,1118,3815,0.445,0,0.684,29.9,11.9,8,1.6,
Georgia,Jeff Malone,Macon,Southwest,13,1984,1996,905,29660,7099,14674,86,321,2947,3383,572,2364,2154,577,100,1538,1695,17231,0.484,0.268,0.871,32.8,19,2.6,2.4,
Georgia,Johnny Mathis,Eastman,Peabody,1,1968,1968,51,656,69,186,0,2,35,55,,194,28,,,42,102,173,0.371,0,0.636,12.9,3.4,3.8,0.5,
Georgia,Jodie Meeks,Norcross,Norcross,10,2010,2019,539,12110,1665,3969,775,2078,883,1004,148,1120,583,413,36,410,632,4988,0.42,0.373,0.879,22.5,9.3,2.1,1.1,
Georgia,Greg Minor,Sandersville,Washington County,5,1995,1999,277,5144,794,1662,24,106,290,378,258,741,384,156,46,225,464,1902,0.478,0.226,0.767,18.6,6.9,2.7,1.4,
Georgia,Mike Mitchell,Atlanta,Price,10,1979,1988,759,24537,6371,12912,19,88,2255,2894,1539,4246,1010,530,400,1300,2012,15016,0.493,0.216,0.779,32.3,19.8,5.6,1.3,
Georgia,Sam Mitchell,Columbus,Columbus,13,1990,2002,994,22257,3220,7206,65,292,2131,2719,1251,3711,1089,548,301,838,2509,8636,0.447,0.223,0.784,22.4,8.7,3.7,1.1,
Georgia,Chris Morris,Atlanta,Frederick Douglass,11,1989,1999,747,18748,3144,7136,497,1625,1399,1894,1516,3544,1182,917,540,1171,1750,8184,0.441,0.306,0.739,25.1,11,4.7,1.6,
Georgia,Randolph Morris,Fairburn,Landmark Christian School,4,2007,2010,74,438,52,122,0,0,36,66,27,104,7,13,7,30,100,140,0.426,,0.545,5.9,1.9,1.4,0.1,
Georgia,Kevin Murphy,Fairburn,Creekside,1,2013,2013,17,52,7,28,1,5,0,0,0,4,2,1,0,3,4,15,0.25,0.2,,3.1,0.9,0.2,0.1,
Georgia,Lloyd Neal,Talbotton,Talbotton,7,1973,1979,435,11015,1981,4087,,,884,1316,686,3370,632,178,324,102,1271,4846,0.485,,0.672,25.3,11.1,7.7,1.5,
Georgia,Chuck Nevitt,Marietta,Sprayberry,9,1983,1994,155,826,99,226,0,0,53,90,82,239,19,18,111,80,211,251,0.438,,0.589,5.3,1.6,1.5,0.1,
Georgia,Ivano Newbill,Macon,Southwest,3,1995,1998,134,1430,76,193,1,1,45,104,140,354,50,50,29,71,213,198,0.394,1,0.433,10.7,1.5,2.6,0.4,
Georgia,Norm Nixon,Macon,Southwest,10,1978,1989,768,27250,5219,10805,100,340,1527,1978,473,1991,6386,1187,71,2368,1983,12065,0.483,0.294,0.772,35.5,15.7,2.6,8.3,
Georgia,Brian Oliver,Smyrna,Wills,4,1991,1998,118,1182,155,400,5,22,74,105,31,123,114,45,6,78,121,389,0.388,0.227,0.705,10,3.3,1,1,
Georgia,Myles Patrick,Macon,Southwest,1,1981,1981,3,9,2,5,0,0,1,2,1,2,1,0,0,1,3,5,0.4,,0.5,3,1.7,0.7,0.3,
Georgia,Lavor Postell,Albany,Westover,3,2001,2003,61,446,59,176,11,44,66,83,11,45,13,12,2,35,28,195,0.335,0.25,0.795,7.3,3.2,0.7,0.2,
Georgia,Josh Powell,Riverdale,Riverdale,7,2006,2014,316,3966,498,1136,7,20,223,300,331,932,161,49,68,254,491,1226,0.438,0.35,0.743,12.6,3.9,2.9,0.5,
Georgia,Chris Robinson,Macon,Southwest,2,1997,1998,76,1095,134,356,58,155,24,42,32,117,104,47,13,67,135,350,0.376,0.374,0.571,14.4,4.6,1.5,1.4,
Georgia,Tree Rollins,Cordele,Crisp County,18,1978,1995,1156,24028,2592,4963,0,7,1065,1522,2148,6750,660,512,2542,1057,3377,6249,0.522,0,0.7,20.8,5.4,5.8,0.6,
Georgia,Jeff Sanders,Augusta,T.W. Josey,4,1990,1993,55,462,49,124,0,0,14,23,41,103,25,18,9,32,64,112,0.395,,0.609,8.4,2,1.9,0.5,
Georgia,Jeff Sheppard,Peachtree City,McIntosh,1,1999,1999,18,185,15,39,2,7,8,13,6,22,16,3,0,7,12,40,0.385,0.286,0.615,10.3,2.2,1.2,0.9,
Georgia,Garret Siler,Augusta,Richmond Academy,1,2011,2011,21,101,17,31,0,0,11,22,16,28,3,1,4,10,20,45,0.548,,0.5,4.8,2.1,1.3,0.1,
Georgia,Chris Singleton,Dunwoody,Dunwoody,3,2012,2014,148,2605,233,620,58,182,88,139,112,472,92,117,57,100,325,612,0.376,0.319,0.633,17.6,4.1,3.2,0.6,
Georgia,Derek Smith,Hogansville,Hogansville,9,1983,1991,408,9825,2031,4074,45,153,1125,1495,476,1300,866,265,175,700,1214,5232,0.499,0.294,0.753,24.1,12.8,3.2,2.1,
