State,Player,HS City,HS Name,Years,From,To,Games,Career_Min_Played,Career_FG,Career_FGA,Career_3P,Career_3PA,Career_FT,Career_FTA,Career_ORB,Career_TRB,Career_AST,Career_STL,Career_BLK,Career_Turnovers,Career_Personal_Fouls,Career_Points,Career_FG%,Career_3P%,Career_FT%,Min_Played_PG,Points_PG,TRB_PG,AST_PG,
California,Austin Daye,Irvine,Woodbridge,6,2010,2015,293,4132,567,1410,188,535,200,257,143,764,212,116,117,204,480,1522,0.402,0.351,0.778,14.1,5.2,2.6,0.7,
California,Darren Daye,Granada Hills,John F. Kennedy,5,1984,1988,328,5208,849,1730,2,17,525,771,321,844,672,191,53,429,607,2225,0.491,0.118,0.681,15.9,6.8,2.6,2,
California,Greg Deane,Tulare,Union,1,1980,1980,7,48,2,11,1,1,5,7,2,6,6,0,0,3,3,10,0.182,1,0.714,6.9,1.4,0.9,0.9,
California,Bison Dele,Santa Monica,Santa Monica,8,1992,1999,413,10004,1847,3499,2,14,840,1215,853,2564,440,320,355,822,1297,4536,0.528,0.143,0.691,24.2,11,6.2,1.1,
California,Dell Demps,Hayward,Mount Eden,3,1994,1997,20,108,21,42,1,3,16,21,2,9,9,6,1,13,12,59,0.5,0.333,0.762,5.4,3,0.5,0.5,
California,DeMar DeRozan,Compton,Compton,15,2010,2024,1110,38460,8440,18007,531,1791,6171,7337,785,4910,4527,1108,361,2274,2509,23582,0.469,0.296,0.841,34.6,21.2,4.4,4.1,
California,Coby Dietrick,Riverside,Riverside Polytech,13,1971,1983,842,16287,2150,4655,6,31,834,1134,1192,3772,1740,666,520,992,2336,5140,0.462,0.194,0.735,19.3,6.1,4.5,2.1,
California,Harry Dinnel,Manhattan Beach,Mira Costa,1,1968,1968,11,87,6,19,0,0,7,8,,23,5,,,8,14,19,0.316,,0.875,7.9,1.7,2.1,0.5,
California,James Donaldson,Sacramento,Luther Burbank,14,1981,1995,957,26222,3105,5442,0,0,1993,2722,2060,7492,765,336,1267,1454,2025,8203,0.571,,0.732,27.4,8.6,7.8,0.8,
California,Ralph Drollinger,El Cajon,Grossmont,1,1981,1981,6,67,7,14,0,0,1,4,5,19,14,1,2,13,16,15,0.5,,0.25,11.2,2.5,3.2,2.3,
California,Chris Dudley,San Diego,Torrey Pines,16,1988,2003,886,16321,1391,3380,0,5,691,1508,2234,5457,375,334,1027,740,2328,3473,0.412,0,0.458,18.4,3.9,6.2,0.4,
California,Jared Dudley,San Diego,Horizon,14,2008,2021,904,20117,2408,5197,883,2247,934,1276,805,2849,1394,710,167,763,1636,6633,0.463,0.393,0.732,22.3,7.3,3.2,1.5,
